,site,index,id,xWok,yWok,zWok,holeID,col,row
0,APO,0,F0,-1.5871651641627924e-05,-232.83631437640526,146.04689904155606,R-12C8,7.0,-12.0
1,APO,1,F1,-112.02639224318568,-194.03471563052605,145.8286869575218,R-10C4,3.0,-10.0
2,APO,2,F2,-44.813364368550324,-194.04683283280502,145.25568642004706,R-10C7,6.0,-10.0
3,APO,3,F3,44.81336552414943,-194.04684460942673,145.25569290488593,R-10C11,10.0,-10.0
4,APO,4,F4,112.0257968296291,-194.0350593913675,145.82868695749767,R-10C14,13.0,-10.0
5,APO,5,F5,1.7073235417601277e-05,-155.25158390104232,144.40990406745584,R-8C10,9.0,-8.0
6,APO,6,F6,-145.64281419334446,-135.8329352777754,145.25569290487786,R-7C4,3.0,-7.0
7,APO,7,F7,145.64280457317815,-135.83292838880422,145.25568642005285,R-7C17,16.0,-7.0
8,APO,8,F8,-201.6421711096468,-116.41814344320305,146.04689904156334,R-6C2,1.0,-6.0
9,APO,9,F9,-67.22860315537712,-116.44266886427722,144.08239255153873,R-6C8,7.0,-6.0
10,APO,10,F10,67.2280077435281,-116.44301262609916,144.08239255154407,R-6C14,13.0,-6.0
11,APO,11,F11,201.64215523733128,-116.4181709332022,146.0468990415473,R-6C20,19.0,-6.0
12,APO,12,F12,-134.45180710000673,-77.62580673582426,144.40990406745846,R-4C6,5.0,-4.0
13,APO,13,F13,134.4518241728699,-77.62577716521791,144.4099040674611,R-4C18,17.0,-4.0
14,APO,14,F14,-190.45616894172855,-58.21390444400066,145.25568642005285,R-3C4,3.0,-3.0
15,APO,15,F15,190.4561797182207,-58.213909331651486,145.2556929048885,R-3C21,20.0,-3.0
16,APO,16,F16,-22.41160511368684,-38.81735121338704,143.20908873468449,R-2C12,11.0,-2.0
17,APO,17,F17,22.411009700958438,-38.81769497422812,143.20908873468144,R-2C14,13.0,-2.0
18,APO,18,F18,-224.0521890728149,0.00034376164827349613,145.828686957504,R0C4,3.0,0.0
19,APO,19,F19,-134.45661089890515,0.00034376164828664127,144.08239255154137,R0C8,7.0,0.0
20,APO,20,F20,-44.822614814790654,0.00034376170182445504,143.2090887346827,R0C12,11.0,0.0
21,APO,21,F21,44.822614814790654,-0.00034376170184254127,143.2090887346827,R0C16,15.0,0.0
22,APO,22,F22,134.45661089890515,-0.000343761648339655,144.08239255154137,R0C20,19.0,0.0
23,APO,23,F23,224.0521890728149,-0.0003437616483623963,145.828686957504,R0C24,23.0,0.0
24,APO,24,F24,1.5871651731946833e-05,232.83631437640526,146.04689904155606,R+12C8,7.0,12.0
25,APO,25,F25,-112.0257968296291,194.0350593913675,145.82868695749767,R+10C4,3.0,10.0
26,APO,26,F26,-44.81336552414943,194.04684460942673,145.25569290488593,R+10C7,6.0,10.0
27,APO,27,F27,44.813364368550324,194.04683283280502,145.25568642004706,R+10C11,10.0,10.0
28,APO,28,F28,112.02639224318568,194.03471563052605,145.8286869575218,R+10C14,13.0,10.0
29,APO,29,F29,-1.7073235349837567e-05,155.25158390104232,144.40990406745584,R+8C10,9.0,8.0
30,APO,30,F30,-145.64280457317815,135.83292838880422,145.25568642005285,R+7C4,3.0,7.0
31,APO,31,F31,145.64281419334446,135.8329352777754,145.25569290487786,R+7C17,16.0,7.0
32,APO,32,F32,-201.64215523733128,116.4181709332022,146.0468990415473,R+6C2,1.0,6.0
33,APO,33,F33,-67.2280077435281,116.44301262609916,144.08239255154407,R+6C8,7.0,6.0
34,APO,34,F34,67.22860315537712,116.44266886427722,144.08239255153873,R+6C14,13.0,6.0
35,APO,35,F35,201.6421711096468,116.41814344320305,146.04689904156334,R+6C20,19.0,6.0
36,APO,36,F36,-134.4518241728699,77.62577716521791,144.4099040674611,R+4C6,5.0,4.0
37,APO,37,F37,134.45180710000673,77.62580673582426,144.40990406745846,R+4C18,17.0,4.0
38,APO,38,F38,-190.4561797182207,58.213909331651486,145.2556929048885,R+3C4,3.0,3.0
39,APO,39,F39,190.45616894172855,58.21390444400066,145.25568642005285,R+3C21,20.0,3.0
40,APO,40,F40,-22.411009700958438,38.81769497422812,143.20908873468144,R+2C12,11.0,2.0
41,APO,41,F41,22.41160511368684,38.81735121338704,143.20908873468449,R+2C14,13.0,2.0
42,APO,42,F42,-324.00603014104485,0.00034376165017134107,148.8072170385315,F1,,
43,APO,43,F43,-312.96577192365567,83.85942729086362,148.80723285564878,F2,,
44,APO,44,F44,-229.1066849494058,229.10693909719868,148.8072266775148,F3,,
45,APO,45,F45,-162.00271736154926,280.5976249555991,148.807217038326,F4,,
46,APO,46,F46,-83.85849157852296,312.9660226372548,148.80723285539514,F5,,
47,APO,47,F47,83.8590869658281,312.9656788978632,148.80722667768484,F6,,
48,APO,48,F48,162.00331277412516,280.5972811945393,148.807217038326,F7,,
49,APO,49,F49,229.1072803402328,229.1065953520168,148.80723285554333,F8,,
50,APO,50,F50,312.96577191302214,83.85873979456635,148.80722667743782,F9,,
51,APO,51,F51,324.00603014104485,-0.00034376165029834126,148.8072170385315,F10,,
52,APO,52,F52,312.96577192365567,-83.85942729086362,148.80723285564878,F11,,
53,APO,53,F53,229.1066849494058,-229.10693909719868,148.8072266775148,F12,,
54,APO,54,F54,162.00271736154926,-280.5976249555991,148.807217038326,F13,,
55,APO,55,F55,83.85849157852296,-312.9660226372548,148.80723285539514,F14,,
56,APO,56,F56,-83.8590869658281,-312.9656788978632,148.80722667768484,F15,,
57,APO,57,F57,-162.00331277412516,-280.5972811945393,148.807217038326,F16,,
58,APO,58,F58,-229.1072803402328,-229.1065953520168,148.80723285554333,F17,,
59,APO,59,F59,-312.96577191302214,-83.85873979456635,148.80722667743782,F18,,
